#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         320     2.03549     2.04051  0.00821819
         321     2.03067     2.04048  0.00819265
         322     2.03145     2.04045  0.00816725
         323     2.00152     2.04033  0.00814286
         324     1.99913     2.04021  0.00811872
         325     1.99849     2.04008  0.00809475
         326     1.98245      2.0399  0.00807185
         327     1.95462     2.03964  0.00805138
         328     1.94758     2.03936  0.00803172
         329      1.9464     2.03908  0.00801228
         330     1.97236     2.03888  0.00799055
         331     1.99122     2.03873  0.00796771
         332     1.97805     2.03855   0.0079458
         333     2.00443     2.03845   0.0079226
         334     2.04938     2.03848  0.00789895
         335     2.05148     2.03852  0.00787547
         336      2.0144     2.03845  0.00785235
         337     1.99125     2.03831   0.0078303
         338     1.97429     2.03812  0.00780943
         339     1.94116     2.03783  0.00779162
         340     1.94703     2.03756  0.00777328
         341     1.97223     2.03737  0.00775285
         342     1.99806     2.03726  0.00773103
         343      2.0121     2.03718  0.00770884
         344     2.02186     2.03714  0.00768656
         345     2.02821     2.03711  0.00766432
         346     2.02584     2.03708  0.00764224
         347     2.00688     2.03699  0.00762071
         348     2.02418     2.03696   0.0075989
         349     2.03018     2.03694  0.00757716
         350      2.0526     2.03698  0.00755564
         351     2.06919     2.03707  0.00753467
         352     2.03512     2.03707  0.00751327
         353     2.01993     2.03702  0.00749214
         354     2.04245     2.03704  0.00747099
         355     2.07556     2.03714  0.00745073
         356      2.1128     2.03736  0.00743284
         357     2.09805     2.03753  0.00741396
         358     2.06121     2.03759  0.00739354
         359     2.02694     2.03756  0.00737301
         360     2.02143     2.03752  0.00735267
         361     2.01936     2.03747  0.00733247
         362     2.01862     2.03742   0.0073124
         363     2.02301     2.03738  0.00729236
         364     2.00316     2.03728  0.00727293
         365     1.96657     2.03709  0.00725559
         366     1.98208     2.03694  0.00723732
         367     1.94124     2.03668   0.0072223
         368     1.97668     2.03651  0.00720451
         369     2.01004     2.03644  0.00718534
         370     2.00694     2.03636  0.00716637
         371     1.95358     2.03614  0.00715052
         372     1.94042     2.03588  0.00713593
         373     1.95958     2.03568  0.00711973
         374     1.99836     2.03558  0.00710139
         375     1.99692     2.03547   0.0070832
         376      2.0063      2.0354  0.00706479
         377     2.02317     2.03536  0.00704612
         378     2.05742     2.03542  0.00702773
         379      2.0377     2.03543  0.00700918
         380     2.01501     2.03538  0.00699095
         381      1.9815     2.03523  0.00697403
         382     1.99897     2.03514  0.00695642
         383     2.00443     2.03506  0.00693872
         384     2.00294     2.03498  0.00692115
         385     1.97745     2.03483  0.00690478
         386     1.99619     2.03473  0.00688762
         387     2.03793     2.03473  0.00686983
         388     2.02544     2.03471  0.00685217
         389     2.06275     2.03478  0.00683493
         390     2.02697     2.03476  0.00681743
         391     2.05449     2.03481  0.00680018
         392     2.02466     2.03479  0.00678289
         393     1.98862     2.03467  0.00676664
         394     1.97984     2.03453   0.0067509
         395     1.95784     2.03434   0.0067366
         396     1.97017     2.03417  0.00672154
         397     2.00074     2.03409  0.00670513
         398     1.99907       2.034  0.00668886
         399     1.99773     2.03391  0.00667272
         400     1.98608     2.03379  0.00665711
