#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         350     1.59653     1.59645 3.69745e-05
         351     1.59614     1.59645 3.68796e-05
         352     1.59672     1.59645 3.67833e-05
         353     1.59639     1.59645 3.66794e-05
         354     1.59613     1.59645 3.65866e-05
         355     1.59629     1.59645 3.64861e-05
         356     1.59613     1.59644 3.63942e-05
         357      1.5962     1.59644 3.62986e-05
         358     1.59723     1.59645 3.62634e-05
         359     1.59623     1.59645 3.61674e-05
         360      1.5965     1.59645 3.60672e-05
         361     1.59657     1.59645 3.59689e-05
         362     1.59601     1.59645 3.58894e-05
         363     1.59628     1.59644 3.57935e-05
         364     1.59688     1.59645 3.57151e-05
         365     1.59653     1.59645 3.56181e-05
         366     1.59706     1.59645 3.55605e-05
         367     1.59605     1.59645   3.548e-05
         368      1.5962     1.59645 3.53899e-05
         369     1.59612     1.59645  3.5305e-05
         370     1.59683     1.59645 3.52249e-05
         371     1.59713     1.59645 3.51774e-05
         372      1.5966     1.59645 3.50854e-05
         373     1.59654     1.59645 3.49921e-05
         374     1.59632     1.59645 3.49002e-05
         375     1.59633     1.59645 3.48086e-05
         376     1.59697     1.59645 3.47433e-05
         377     1.59612     1.59645 3.46623e-05
         378     1.59677     1.59645  3.4581e-05
         379     1.59676     1.59645 3.44993e-05
         380     1.59674     1.59645 3.44167e-05
         381     1.59681     1.59645  3.4339e-05
         382     1.59666     1.59645 3.42535e-05
         383     1.59656     1.59645 3.41652e-05
         384     1.59637     1.59645 3.40769e-05
         385     1.59655     1.59645 3.39893e-05
         386     1.59658     1.59645 3.39028e-05
         387     1.59613     1.59645 3.38252e-05
         388     1.59637     1.59645 3.37386e-05
         389     1.59689     1.59645 3.36705e-05
         390     1.59601     1.59645 3.36031e-05
         391     1.59669     1.59645 3.35228e-05
         392     1.59653     1.59645 3.34379e-05
         393     1.59666     1.59645 3.33571e-05
         394     1.59705     1.59645 3.33063e-05
         395     1.59622     1.59645 3.32273e-05
         396      1.5965     1.59645 3.31435e-05
         397     1.59664     1.59645 3.30635e-05
         398     1.59613     1.59645 3.29906e-05
         399     1.59653     1.59645 3.29085e-05
         400     1.59685     1.59646 3.28411e-05
