#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         445     1.31634     1.31897  0.00122722
         446     1.32277     1.31897  0.00122449
         447     1.31331     1.31896  0.00122182
         448     1.31191     1.31895  0.00121919
         449     1.30535     1.31892  0.00121685
         450     1.30721     1.31889  0.00121443
         451     1.31541     1.31888  0.00121176
         452     1.29947     1.31884  0.00120984
         453      1.3055     1.31881  0.00120753
         454     1.29588     1.31876  0.00120592
         455     1.29297      1.3187   0.0012046
         456      1.2828     1.31862  0.00120453
         457     1.28555     1.31855  0.00120407
         458     1.30786     1.31853  0.00120167
         459      1.3316     1.31856  0.00119939
         460     1.34295     1.31861  0.00119795
         461     1.32196     1.31862  0.00119537
         462     1.31521     1.31861  0.00119281
         463     1.30344     1.31858  0.00119068
         464      1.2861     1.31851  0.00119017
         465     1.26976      1.3184  0.00119222
         466     1.27538     1.31831  0.00119323
         467      1.2854     1.31824  0.00119275
         468     1.28812     1.31817  0.00119194
         469     1.27828     1.31809  0.00119243
         470     1.25829     1.31796  0.00119666
         471     1.25142     1.31782  0.00120243
         472      1.2573     1.31769   0.0012067
         473     1.26949     1.31759  0.00120845
         474     1.27027     1.31749  0.00121001
         475     1.27547      1.3174  0.00121069
         476     1.29621     1.31736  0.00120897
         477     1.30844     1.31734  0.00120658
         478     1.29751      1.3173  0.00120477
         479     1.30817     1.31728   0.0012024
         480     1.29801     1.31724  0.00120057
         481     1.30137     1.31721  0.00119853
         482     1.29433     1.31716  0.00119698
         483     1.28316     1.31709  0.00119657
         484     1.29887     1.31705  0.00119469
         485     1.29974     1.31701  0.00119276
         486     1.30682     1.31699  0.00119049
         487     1.28326     1.31692  0.00119006
         488     1.26947     1.31683  0.00119158
         489      1.2809     1.31675  0.00119141
         490     1.30002     1.31672  0.00118947
         491     1.31751     1.31672  0.00118705
         492     1.32833     1.31674  0.00118487
         493     1.30559     1.31672  0.00118268
         494     1.29347     1.31667  0.00118122
         495     1.30955     1.31666  0.00117893
         496     1.32192     1.31667   0.0011766
         497     1.31729     1.31667  0.00117423
         498     1.29812     1.31663  0.00117246
         499     1.29084     1.31658  0.00117125
         500     1.29363     1.31654  0.00116981
