#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         477   -0.326949   -0.428656  0.00570511
         478   -0.324399   -0.428438  0.00569734
         479   -0.312615   -0.428196  0.00569057
         480   -0.366749   -0.428068  0.00568016
         481   -0.415437   -0.428042  0.00566841
         482   -0.420336   -0.428026  0.00565667
         483   -0.414434   -0.427998  0.00564503
         484   -0.403051   -0.427946   0.0056336
         485   -0.374442   -0.427836  0.00562307
         486   -0.365174   -0.427707  0.00561297
         487   -0.374031   -0.427597  0.00560253
         488   -0.412306   -0.427565  0.00559114
         489    -0.42782   -0.427566   0.0055797
         490    -0.42937   -0.427569  0.00556832
         491   -0.403917   -0.427521  0.00555718
         492   -0.412033    -0.42749  0.00554598
         493   -0.407732    -0.42745  0.00553487
         494   -0.424714   -0.427444  0.00552367
         495   -0.423188   -0.427436  0.00551252
         496   -0.444809   -0.427471  0.00550152
         497    -0.46314   -0.427542  0.00549092
         498     -0.4536   -0.427595  0.00548014
         499   -0.439979    -0.42762  0.00546921
         500   -0.472471   -0.427709  0.00545901
