   Gen     Avg_len    Best_len     Best_path
    82     7.36565     7.36565     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 22 28 29 23 1 14 0
    83     7.36332     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    84     7.23689     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    85     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    86     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    87     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    88     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    89     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    90     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    91     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    92     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    93     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    94     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    95     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    96     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    97     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    98     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
    99     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   100     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   101     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   102     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   103     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   104     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   105     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   106     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   107     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   108     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   109     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   110     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   111     7.13257     7.13257     0 20 13 18 7 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   112     7.13009     6.88429     0 7 18 13 20 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   113     6.96316     6.31941     0 7 20 13 18 9 11 12 25 21 2 6 8 32 31 19 33 15 5 17 27 24 26 4 30 10 3 16 28 22 29 23 1 14 0
   114     6.59769     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   115     6.44984     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   116     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   117     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   118     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   119     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   120     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   121     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   122     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   123     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   124     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   125     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   126     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   127     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   128     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   129     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   130     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   131     6.31941     6.31941     0 14 1 23 29 22 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   132     6.31789     6.24306     0 14 1 23 22 29 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
   133     6.27436     6.24306     0 14 1 23 22 29 28 16 3 10 30 4 26 24 27 17 5 15 33 19 31 32 8 6 2 21 25 12 11 9 18 13 20 7 0
