   Gen     Avg_len    Best_len     Best_path
    69     5.42742     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    70     5.41816     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    71     5.41816     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    72     5.41816     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    73     5.41816     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    74     5.41816     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    75     5.41816     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    76     5.41816     5.41816     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 10 23 9 25 33 14 11 0
    77      5.4176     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    78     5.39014     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    79     5.36212     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    80     5.36212     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    81     5.36212     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    82     5.36212     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    83     5.36212     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    84     5.36212     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    85     5.36212     5.36212     0 17 30 19 21 31 29 6 3 22 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    86     5.36199     5.34937     0 17 30 19 21 22 3 6 29 31 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    87     5.35549     5.34937     0 17 30 19 21 22 3 6 29 31 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    88     5.34937     5.34937     0 17 30 19 21 22 3 6 29 31 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    89     5.34937     5.34937     0 17 30 19 21 22 3 6 29 31 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    90     5.34937     5.34937     0 17 30 19 21 22 3 6 29 31 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    91     5.34937     5.34937     0 17 30 19 21 22 3 6 29 31 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    92     5.34824     5.23667     0 17 30 19 31 29 6 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    93     5.30203     5.23667     0 17 30 19 31 29 6 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    94     5.23667     5.23667     0 17 30 19 31 29 6 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    95     5.23667     5.23667     0 17 30 19 31 29 6 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    96     5.23643     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    97     5.22357     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    98     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
    99     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   100     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   101     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   102     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   103     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   104     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
